qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7444,984,830,9,33,5,89181,88747,88332
7445,984,8,6,7,6,89163,89079,88498
7446,984,839,10,31,7,90115,89199,89111
7447,984,815,10,11,8,89696,89343,89260
7448,984,13,3,19,9,90352,89687,89480
7449,984,4,1,14,10,90525,89749,90687
7450,984,838,1,2,11,90654,89778,
7451,984,807,4,27,12,90252,89879,
7452,984,825,210,20,13,90774,89972,
7453,984,835,4,30,14,90516,90022,
7454,984,832,5,55,15,90565,90413,
7455,984,154,210,8,16,90849,,
7456,984,842,5,10,17,91317,,
7457,984,840,3,18,18,91409,,
7458,984,828,15,9,19,91597,,
7459,984,836,15,94,20,91885,,
7460,985,1,131,44,1,94822,93437,93108
7461,985,20,6,5,2,95420,94103,93347
7462,985,822,131,77,3,95309,93769,93568
7463,985,817,9,3,4,95991,94495,93577
7464,985,8,6,7,5,95649,93840,93577
7465,985,830,9,33,6,94899,94716,93658
7466,985,839,10,31,7,95849,95113,94647
7467,985,832,4,55,8,95517,94899,94852
7468,985,4,1,14,9,95712,95046,95007
7469,985,815,10,11,10,96358,94789,95148
7470,985,13,3,19,11,95603,95155,
7471,985,826,5,26,12,96073,95529,
7472,985,838,1,2,13,96286,95641,
7473,985,154,210,8,14,96835,95870,
7474,985,807,4,27,15,95740,,
7475,985,828,15,9,16,96842,,
7476,985,840,3,18,17,96868,,
7477,985,843,5,39,18,96889,,
7478,985,836,15,94,19,97179,,
7479,985,825,210,20,20,97394,,
7480,986,20,6,5,1,77665,76870,76488
7481,986,830,9,33,2,77630,76524,76574
7482,986,1,131,44,3,77518,77035,76934
7483,986,822,131,77,4,77578,77161,76958
7484,986,8,6,7,5,78148,77534,77238
7485,986,839,10,31,6,78336,77827,77437
7486,986,817,9,3,7,78208,77631,77447
7487,986,807,4,27,8,78322,77792,77466
7488,986,832,4,55,9,78405,77753,77794
7489,986,815,10,11,10,78020,77868,77807
7490,986,13,3,19,11,78570,78099,
7491,986,840,3,18,12,78902,79159,
7492,986,843,5,28,13,78683,,
7493,986,4,1,14,14,77710,,
7494,986,838,1,2,15,78578,,
7495,986,828,15,9,16,79176,,
7496,986,836,15,94,17,79333,,
7497,986,825,210,20,18,79443,,
7498,986,154,210,8,19,79473,,
7499,987,822,131,77,1,69452,68638,68322
7500,987,20,6,5,2,69643,68494,68360
7501,987,8,6,7,3,69405,69116,68538
7502,987,830,9,33,4,69820,69050,68925
7503,987,817,9,3,5,69828,69533,69330
7504,987,815,10,11,6,70145,69760,69598
7505,987,4,1,14,7,70172,69593,69617
7506,987,807,4,27,8,70078,69726,69703
7507,987,832,4,55,9,70227,69768,69805
7508,987,13,3,19,10,69789,69612,69841
7509,987,839,10,31,11,70168,69830,
7510,987,154,210,8,12,70148,69879,
7511,987,838,1,2,13,70286,70116,
7512,987,825,210,20,14,70521,70154,
7513,987,843,5,28,15,70625,,
7514,987,836,15,94,16,70678,,
7515,987,842,5,10,17,70686,,
7516,987,840,3,18,18,70776,,
7517,987,828,15,9,19,70875,,
7520,988,822,131,77,1,97356,96822,96231
7519,987,1,131,44,20,,,
7521,988,1,131,44,2,97391,96742,96403
7522,988,20,6,5,3,97817,97023,96777
7523,988,817,9,3,4,98016,97583,96959
7524,988,8,6,7,5,97453,97302,96985
7525,988,830,9,33,6,98021,97777,97328
7526,988,807,4,27,7,98781,98138,98282
7527,988,815,10,11,8,98601,98359,98374
7528,988,839,10,31,9,98896,98392,98397
7529,988,13,3,19,10,98629,98565,98550
7530,988,4,1,14,11,98820,98636,
7531,988,832,4,55,12,98810,98725,
7532,988,838,1,2,13,98777,98808,
7533,988,825,210,20,14,99395,99298,
